Date-ref	Time-ref	node-alm	REPT	Type	Date	Node	Group	Hour	week	
25-01-28	12:10:50	bc_lsrvr313	CMPRS.1	softwareError	01/28/25	LION-3	INTERCEPT	12	5	
25-01-28	12:10:50	bc_srvr15	CMPRS.1	softwareError	01/28/25	D1-2	ADMIN	12	5	
25-01-28	12:10:50	bc_srvr16	CMPRS.1	softwareError	01/28/25	D1-3	ADMIN	12	5	
25-01-28	12:10:50	bc_srvr17	CMPRS.1	softwareError	01/28/25	D1-4	SEARCH	12	5	
25-01-28	12:10:50	bc_srvr18	CMPRS.1	softwareError	01/28/25	D1-5	SEARCH	12	5	
25-01-28	12:10:50	bc_srvr21	CMPRS.1	softwareError	01/28/25	D1-8	ADMIN	12	5	
25-01-28	12:10:50	bc_srvr22	CMPRS.1	softwareError	01/28/25	D1-9	ADMIN	12	5	
25-01-28	12:10:50	bc_srvr23	CMPRS.1	softwareError	01/28/25	D1-10	ADMIN	12	5	
25-01-28	12:10:50	bc_srvr24	CMPRS.1	softwareError	01/28/25	D1-11	SEARCH	12	5	
25-01-28	12:10:50	bc_srvr25	CMPRS.1	softwareError	01/28/25	D1-12	ADMIN	12	5	
25-01-28	12:10:50	bc_srvr26	CMPRS.1	softwareError	01/28/25	D1-14	SEARCH	12	5	
25-01-28	12:10:50	bc_srvr35	CMPRS.1	softwareError	01/28/25	D1-25	SEARCH	12	5	
25-01-28	12:10:50	bc_srvr30	CMPRS.1	softwareError	01/28/25	D1-20	SEARCH	12	5	
25-01-28	12:10:50	bc_srvr31	CMPRS.1	softwareError	01/28/25	D1-21	SEARCH	12	5	
